"Country Name","Country Code","Indicator Name","Indicator Code","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Bosnia and Herzegovina","BIH","Employment Growth","DET","-6.561597","-8.310852","-7.417418","1.446433","1.583015","-1.914579","4.973166","2.962965","2.178514","-1.783769","3.087444","-1.877116","-4.432194","3.237255","-8.716787","5.330322","10.12789","-0.7014406","-2.611177","-0.0654108","-0.0592004","0.3132288","0.6584862","1.434917","1.310539","1.057239","0.8057015","0.5675553",
"Botswana","BWA","Employment Growth","DET","1.12524","3.294611","6.181857","3.563049","3.73548","4.316364","3.729985","1.815229","2.820696","1.325643","6.627519","-2.16213","3.424224","3.268931","7.616429","0.5965812","-2.739058","6.138063","2.094532","1.47391","1.445243","0.4725944","0.6517271","0.8388407","0.9598482","1.023137","1.093954","1.134472",
"Brazil","BRA","Employment Growth","DET","6.604641","2.541048","2.626495","2.562184","-1.353284","2.533584","1.038997","2.634487","1.721042","1.701566","3.422966","1.315515","3.779951","2.392921","2.18573","1.274565","2.868373","0.2779341","2.266402","2.77201","2.011933","1.588836","1.29232","1.43548","1.324743","1.251465","1.207402","1.139916",
"Bulgaria","BGR","Employment Growth","DET","4.066822","-10.84273","-0.4856413","3.057939","0.4163546","-2.333259","-0.3312513","-4.295265","-4.786286","-1.297799","1.001016","3.178282","3.162192","0.2510753","4.739125","4.414892","3.237694","-3.430943","-6.117464","-3.477428","-0.9488606","-1.345443","-0.9211474","-0.7618964","0.1401356","-0.1598243","-0.4156658","-0.5920024",
"Burundi","BDI","Employment Growth","DET","0.9197909","0.6174579","0.5293751","0.2726029","0.1207765","0.1091235","0.2271572","1.38657","2.311081","3.232632","3.912825","4.350984","4.499297","4.406079","4.309847","4.188054","4.093003","3.838883","3.620957","3.386142","3.112134","3.011453","2.889704","2.857338","2.852898","2.843174","2.847968","2.858246",
"Cambodia","KHM","Employment Growth","DET","2.814083","2.232889","2.039455","3.148458","3.485162","4.627906","4.815486","3.776663","3.227661","5.120308","3.577179","3.351033","4.321248","4.563538","4.27531","4.019068","3.775929","2.880039","2.082489","2.377359","2.213861","1.866407","1.770684","1.716673","1.67466","1.633483","1.603129","1.580853",
"Canada","CAN","Employment Growth","DET","-1.14158","0.4197265","2.01275","1.64326","0.8086162","2.097086","2.546631","2.664087","2.47737","1.036232","2.244979","2.550129","1.751887","1.431882","1.84075","2.571442","1.742503","-1.747961","1.329476","1.539153","1.110722","0.9601424","0.7601273","0.714639","0.6782926","0.6249821","0.5802176","0.5434536",
"Chile","CHL","Employment Growth","DET","3.969559","4.061614","1.974223","1.31322","1.995172","2.601546","1.901397","-2.072376","1.45921","0.7192615","1.446832","3.338106","2.792816","3.767187","3.33057","3.446021","3.296665","-0.6457065","8.091808","4.700247","2.111142","2.034151","1.435183","1.529181","1.398841","1.32795","1.191072","1.09865",
"China","CHN","Employment Growth","DET","1.974361","1.375278","1.209761","0.962661","1.080105","1.045694","0.8966661","1.122645","1.341323","0.9020689","1.049589","1.044056","0.8506363","0.9470161","0.900696","0.8523697","-0.0587657","0.3867948","0.4952165","0.9437298","0.7998514","0.6580633","0.5155247","0.3837713","0.254979","0.1375168","0.0496224","0.0723853",
"Colombia","COL","Employment Growth","DET","6.44705","0.3807105","4.867527","4.876875","4.294843","7.556433","3.178582","2.85732","2.506753","6.490915","3.612531","6.441138","-0.9684922","4.187473","-0.5857325","1.50061","2.961657","4.960235","2.343313","3.097984","2.564938","2.006522","1.965199","1.905933","1.851685","1.795801","1.743101","1.69426",
"Congo","COG","Employment Growth","DET","3.307903","3.297744","3.34879","3.494129","3.477901","3.49941","3.534102","3.314368","3.233347","2.880396","2.739919","2.665842","2.837849","3.056311","3.207246","3.352442","3.543112","3.357051","3.100313","2.732823","2.583256","2.488849","2.459895","2.517325","2.526011","2.580808","2.646175","2.6567",
"Costa Rica","CRI","Employment Growth","DET","3.473461","4.20638","3.478223","3.698837","-0.7980866","7.747127","6.013405","1.935668","1.779719","6.50612","2.161129","2.266328","1.253963","5.902488","3.222849","5.373859","1.186806","-1.23949","3.161227","1.893851","2.107552","2.307256","2.104314","1.998733","1.885818","1.776557","1.650547","1.531571",
"Croatia","HRV","Employment Growth","DET","0.3244511","-0.515371","-1.406106","-1.357698","-1.234739","-1.271022","-2.569663","-4.02703","-4.047124","-6.640377","5.261394","1.55893","2.5028","0.8609775","0.5753905","2.045261","1.069227","-1.369522","-4.103672","-2.9124","-3.493708","-2.516636","-0.2270394","-0.4687352","-0.1051797","0.0933594","0.0648587","-0.0830116",
"Cyprus","CYP","Employment Growth","DET","7.872252","-2.327347","7.069697","1.42729","3.630596","3.418192","0.268584","1.669068","11.41689","6.007314","3.512604","3.448854","2.795233","0.5558663","3.437289","3.192652","2.022783","-0.0221076","1.321053","-1.276663","-3.120671","-2.915768","-1.582902","2.613649","3.139095","2.872431","2.285118","1.783721",
"Czech Republic","CZE","Employment Growth","DET","-0.1713255","-0.114373","1.003621","0.634841","0.1118633","-0.7533581","-1.463406","-2.006093","-0.7481851","0.4803095","0.8026997","-0.8778539","-0.6850613","1.228961","1.373675","2.097026","1.266221","-1.443713","-0.5114928","0.8957517","0.7069688","1.38429","0.2140195","0.3448674","0.2747956","0.2124084","0.1671378","0.1277544",
"Denmark","DNK","Employment Growth","DET","0.3147355","-2.627318","-0.976356","2.572481","0.5143274","2.261237","0.0674174","1.095682","0.0794427","-0.0486979","0.4313184","-1.104306","1.101989","0.6262755","2.14701","0.1723567","1.463276","-3.067819","-2.396309","-0.0579132","-0.4652406","-0.1834687","0.4800535","0.6140037","0.6334249","1.006878","0.9048576","0.8173907",
"Dominican Republic","DOM","Employment Growth","DET","0.9947209","3.21176","7.243155","2.761538","1.064993","3.431684","3.537302","2.773417","1.591202","0.8831887","2.104655","1.823584","0.4130381","2.93984","4.392294","3.209586","3.692719","1.105281","4.542185","-0.8781801","1.688358","1.442459","1.467153","1.474274","1.397493","1.362239","1.320298","1.295375",
"Ecuador","ECU","Employment Growth","DET","2.405682","3.951342","4.282679","2.891851","3.401373","3.425855","2.885581","3.203331","2.512191","8.396338","0.7128859","-0.3046821","8.517196","0.9127837","4.393441","0.6670421","-0.4888266","1.099017","4.468346","3.275226","2.48257","2.28047","1.883148","1.913814","1.929285","1.948777","1.952941","1.948133",
"Egypt","EGY","Employment Growth","DET","0.2172343","1.141571","4.183591","-0.5840612","3.824846","1.807012","1.349021","5.725083","0.7484357","0.867264","0.4097123","4.590394","4.272312","3.706192","0.7476202","6.428043","2.707623","1.633036","2.812913","-1.039347","1.455865","2.199759","2.15428","2.158885","2.076571","1.950514","1.895205","1.86152",
"El Salvador","SLV","Employment Growth","DET","0.7437596","1.810702","5.955411","0.4140864","-1.085186","0.5718769","4.805723","0.5471666","0.0312088","0.0514755","0.9176168","2.827807","-0.8736339","1.831307","2.98602","2.498186","2.869535","0.5863081","2.569574","2.206987","2.374682","1.597318","1.659442","1.545286","1.443581","1.34652","1.265141","1.184283",
"Estonia","EST","Employment Growth","DET","-5.635603","-6.872423","-5.129422","-6.11005","-1.317095","-1.343499","-0.4361432","-4.55232","-2.717414","0.9191172","1.439602","1.5266","1.076296","1.667037","5.406776","1.215402","-0.1080945","-9.504079","-4.392051","6.363168","1.428606","1.276752","-0.0464776","-0.2173553","-0.31021","-0.3832789","-0.4342557","-0.4516878",
"Ethiopia","ETH","Employment Growth","DET","3.650105","3.582215","3.10344","1.699643","2.810694","2.934345","3.050897","2.839107","4.185028","4.156227","4.494095","4.436394","4.392676","4.34732","3.104671","3.155021","3.197559","3.266226","3.36904","3.566118","3.588428","3.403027","3.440628","3.441636","3.426312","3.403284","3.363936","3.30406",
"Fiji","FJI","Employment Growth","DET","3.307066","2.433049","3.121972","2.965645","1.877404","-0.4783314","-1.454157","0.8010302","1.086547","2.828661","1.651122","-1.613349","5.426493","1.079628","-1.304729","-1.814269","0.7527668","1.567144","1.329974","0.9956545","0.8487664","1.196547","1.063531","0.8817282","0.7874728","0.7143866","0.6636667","0.6280981",
"Finland","FIN","Employment Growth","DET","-7.07949","-5.976396","-0.9333655","2.316663","1.436027","1.600758","2.253483","3.411649","1.642285","1.355831","0.3387268","-0.4142184","0.0704866","1.24182","2.420169","1.887114","1.636088","-3.02849","-0.6536946","1.249134","0.1936825","-0.8145327","-0.4627508","-0.1516825","0.0505028","0.169267","0.2484835","0.284755",
"France","FRA","Employment Growth","DET","-0.4325266","-0.6932682","-1.087261","1.525379","0.5408747","-0.3702135","1.185428","1.12581","2.613786","1.969523","1.084002","2.33047","-0.0103462","1.407025","0.6100075","1.721041","1.386895","-0.8441456","0.2491825","0.3573406","0.1204754","-0.2829862","-0.0722001","0.2991272","0.4567308","0.5078471","0.5268536","0.4954628",
"Georgia","GEO","Employment Growth","DET","0.868962","-1.40774","-1.695431","-3.067901","0.9457572","-1.046045","-1.001158","-2.331419","-0.4683298","2.808778","-5.078636","3.010025","-3.422105","-1.814684","-0.0060728","0.1304237","-3.58225","-0.1845724","0.6360001","1.483459","0.0696248","0.711109","0.4698634","0.1265028","-0.103962","-0.2879181","-0.4243719","-0.5290449",
"Germany","DEU","Employment Growth","DET","-1.341686","-1.346887","-0.5133668","0.6190161","-0.3093274","-0.4363627","1.382724","0.540782","0.5795047","0.1674352","-0.9657128","-1.217215","0.2552595","0.2811733","1.789052","2.530355","1.217372","-0.0278844","0.686703","2.19838","0.4321436","0.2435097","0.0990721","-0.0684682","-0.1956795","-0.2892912","-0.3810592","-0.4454645",
"Greece","GRC","Employment Growth","DET","2.895323","0.372942","2.581972","2.086961","1.946012","0.8365905","1.315958","0.2956039","1.166813","-0.1608412","1.107212","1.802295","0.3902895","0.9133064","1.746984","0.6404387","0.8002856","-1.095596","-3.004083","-6.96859","-8.267497","-4.128961","-0.6210292","1.423675","1.636195","1.147446","0.7620864","0.3997363",
"Guatemala","GTM","Employment Growth","DET","2.162165","3.048721","2.451175","0.7902908","2.592258","2.084476","3.102099","3.972145","3.152168","2.871219","0.8682574","3.217829","2.637447","6.749578","6.493939","2.334456","2.959545","3.160778","2.801686","2.911811","4.704639","3.458771","3.432114","3.382977","3.333152","3.286814","3.240752","3.195897",
"Guyana","GUY","Employment Growth","DET","0.3614931","0.0974717","-0.0740849","0.1583149","0.4319039","0.677363","0.8125843","0.6323238","0.3552741","-0.0128979","-0.2658554","-0.4826903","0.3980277","-0.6466162","1.748118","0.7461439","-0.3613669","1.135747","1.361443","1.441461","1.32171","1.753956","1.746249","1.712628","1.838022","1.845081","1.789178","1.66222",
"Honduras","HND","Employment Growth","DET","6.067535","3.478554","3.347415","3.382986","6.46243","4.581532","3.916501","6.301863","0.870163","0.1134312","-0.5833347","0.9268818","1.415371","5.186746","4.380495","3.499357","3.114046","3.165984","1.7145","3.613026","3.167282","3.288132","3.125993","3.033365","2.929455","2.82599","2.732915","2.659013",
"Hong Kong, China","HKG","Employment Growth","DET","-0.2477081","0.6323946","1.496769","0.8738487","2.404649","2.966204","0.1486212","0.6355629","3.327123","1.405307","-0.5707591","-0.352617","1.985713","1.637946","1.641988","1.872518","0.8227041","-0.8316389","0.1887051","1.577369","0.6936718","0.504881","0.5108503","0.3654668","0.2712495","0.1697581","0.0771716","-0.0266449",
"Hungary","HUN","Employment Growth","DET","2.840052","-5.922198","-1.542721","-0.960196","-0.6347858","-0.2525401","0.9051325","3.015982","1.287905","0.1728051","0.0475459","1.497278","-0.3159073","-0.0614448","0.4703761","-0.1269823","-1.090171","-2.335714","-0.2458978","0.9180648","1.614433","0.6958132","0.3488239","0.283122","0.145215","0.2991744","0.1764734","0.0924141",
"Iceland","ISL","Employment Growth","DET","0.3453365","-1.426416","1.015162","3.49393","0.8412856","0.5777325","4.293085","3.124182","1.487071","1.291043","-0.8672863","1.026833","-0.0569405","3.52292","2.65254","2.421082","0.1634439","-4.771685","1.557564","1.049183","2.642048","1.659302","1.348083","1.244659","1.329549","1.143018","0.9703231","0.8677276",
"India","IND","Employment Growth","DET","2.414763","2.359014","2.96044","1.594653","1.900843","1.609829","1.983233","1.504756","1.861041","3.126012","2.482393","3.189158","2.707369","2.135271","0.2445787","0.7640002","-0.2678933","0.2336831","0.454263","0.6340613","0.4983849","1.78359","1.733254","1.712824","1.686509","1.637762","1.592287","1.54788",
"Indonesia","IDN","Employment Growth","DET","5.796006","2.11436","2.519443","4.852406","2.952733","-0.1846426","0.5449395","4.972838","2.027173","-0.5851659","0.2754231","1.4683","1.391451","0.330168","2.530055","2.787793","2.146688","2.31812","2.283489","2.22216","2.23496","1.529698","1.759173","1.694011","1.662354","1.621637","1.578257","1.542496",
"Iran, Islamic Republic of","IRN","Employment Growth","DET","0.2393719","1.641862","1.856688","2.262422","2.372101","4.151647","4.810037","5.186096","3.32791","6.569909","4.988804","6.347658","7.515639","2.626995","0.8228641","0.9117628","-3.146611","0.744182","0.5115878","2.349158","2.245154","1.760126","1.858413","1.842815","1.686758","1.513142","1.367133","1.239602",
"Ireland","IRL","Employment Growth","DET","0.129661","1.623258","3.992956","5.057558","3.429278","4.146838","7.576462","6.624436","5.314643","3.059632","2.380392","2.323519","2.907585","5.13337","2.807384","2.075218","-1.004029","-7.079025","-2.777029","-0.5813406","0.5453713","3.495729","1.000308","1.549575","1.597867","1.519371","1.01355","0.9747996",
"Israel","ISR","Employment Growth","DET","4.172125","7.512694","8.078245","5.464762","2.602732","1.381034","1.974534","2.768337","3.087142","1.622516","0.3214428","2.064448","3.237744","4.363684","4.057384","5.306069","4.626894","1.490631","3.693348","2.776539","10.54628","1.047015","0.2019163","0.4091136","0.6625598","0.8563603","0.9967148","1.049321",
"Italy","ITA","Employment Growth","DET","-2.252675","-1.513132","-1.78899","-1.238173","0.176496","-0.0761531","0.4416161","1.151092","1.425411","2.175009","1.996628","1.915282","3.198971","-0.0624447","1.76936","0.9745726","0.7448189","-1.886369","-0.7113513","0.1919993","-0.4370387","-1.354825","0.2906695","0.738658","0.7255791","0.6021305","0.4440295","0.3342135",
"Jamaica","JAM","Employment Growth","DET","1.641705","0.2160155","2.367456","-1.056321","-0.0153468","-1.002727","0.6093002","0.2385713","0.7025565","1.060804","1.289772","3.468512","1.16932","1.924596","2.681759","1.304824","-0.3187251","-3.056561","-1.931661","0.4855689","0.6884641","-0.1780975","1.580689","1.594836","1.585486","2.021063","1.851889","1.650546",
"Japan","JPN","Employment Growth","DET","1.336948","0.3603721","0.1088315","0.1333222","0.5309615","0.8396407","-0.7679698","-0.9618202","-0.3427247","-0.3393839","-1.090606","0.0392068","0.1076632","0.5054983","0.3874257","0.5965414","-0.2544981","-1.294371","0.2686866","-1.102643","-0.1664589","0.8773446","-0.0004724","-0.2710982","-0.305668","-0.2001999","-0.1963478","-0.1478174",
"Jordan","JOR","Employment Growth","DET","6.346608","7.311906","10.44982","10.96905","5.534932","3.704247","0.9212934","2.022398","0.4340683","-1.144356","0.0900643","1.380046","5.235892","1.932178","5.188224","10.21789","5.673874","7.796176","4.430572","3.53671","4.095953","4.645834","4.245771","3.165962","2.022902","1.074688","0.539869","0.5648884",
"Kazakhstan","KAZ","Employment Growth","DET","-2.359249","1.016915","2.235384","-4.482395","-3.048512","-0.8883241","-0.8708348","-0.8150495","1.048359","3.704491","2.780239","1.769201","1.38553","2.348072","2.199411","2.328967","2.44847","1.399237","2.156167","1.728496","1.258447","1.151284","0.604129","0.5767385","0.5126857","0.4440044","0.3954426","0.3758749",
"Kenya","KEN","Employment Growth","DET","3.346115","3.377753","3.25984","3.026594","2.760736","2.50912","2.503866","2.367505","2.358486","2.390117","2.33293","2.344787","2.309112","2.268759","3.298654","3.2782","3.255832","3.295523","3.32581","3.366605","3.383848","3.325187","3.323537","3.275803","3.212708","3.160003","3.122135","3.102191",
"Korea, Republic of","KOR","Employment Growth","DET","1.778712","0.9150123","3.008389","2.368146","1.89419","1.338705","-6.312193","1.660576","3.72238","1.427058","2.410982","-0.4003137","1.858896","0.962346","1.317798","1.44459","0.5466735","-0.2206269","1.407279","1.826061","1.806306","1.36927","1.008477","0.897823","0.8378501","0.7805179","0.693836","0.5968575",
"Kuwait","KWT","Employment Growth","DET","-0.7733419","-1.044546","-0.3982363","0.9651114","2.794976","4.337911","5.228476","5.25282","4.652459","4.130991","3.449922","3.552681","3.235548","3.88868","5.753825","5.129324","5.178895","6.295718","5.039877","3.089966","4.853552","4.626324","3.97276","3.400849","2.813073","2.319772","1.975646","1.816329",
"Kyrgyzstan","KGZ","Employment Growth","DET","0.6276492","0.4410826","1.056855","0.9971411","1.488281","2.754092","0.7467517","3.972426","2.559793","1.087538","-4.066887","3.742419","2.324342","3.595099","2.685916","1.863424","1.784747","1.5471","1.500393","1.854826","1.823528","2.072251","1.923814","1.661151","1.521869","1.403727","1.30124","1.212584",
"Latvia","LVA","Employment Growth","DET","-3.115767","-3.607584","-5.972833","-1.497384","-3.50165","-3.157783","-0.0976999","-1.552401","-3.162866","1.97196","2.861119","0.9129714","0.5005307","0.2543562","4.006491","1.887108","-0.5820922","-13.54492","-5.557858","1.789869","2.906072","4.253383","-0.4907935","-0.5648483","-0.7272182","-0.2625147","-0.5628375","-0.7465787",
"Lesotho","LSO","Employment Growth","DET","-0.3161463","-0.3206395","4.79687","10.01325","7.832689","-13.62274","11.14859","10.68284","-13.34292","-0.2370412","5.786528","-8.585269","3.883791","-0.8408593","6.068855","8.987043","1.665223","0.7478294","3.629504","-0.1336146","4.944619","1.15665","1.250639","1.391079","1.109578","1.633303","1.552723","1.083025",
"Lithuania","LTU","Employment Growth","DET","5.874404","-4.490605","-6.693584","-1.131523","0.2287975","0.124134","-0.6829273","0.4702784","-4.713696","-3.579548","3.229898","3.412094","-3.398269","0.9310157","1.009001","1.235398","-1.757943","-7.485352","-4.788971","4.225421","3.057513","1.86443","0.8043177","0.4598269","0.1480152","-0.1100468","-0.3325712","-0.5032235",
"Luxembourg","LUX","Employment Growth","DET","2.08305","-0.3029693","-0.2166253","-1.776758","1.968376","2.593359","1.375139","3.245982","3.551171","0.41075","1.884105","-1.602864","1.355757","3.675741","2.884196","2.665357","1.627037","6.609242","2.115698","0.9060317","3.009089","0.2353142","1.048204","1.056935","1.120044","1.179273","1.1795","1.137299",
"Malawi","MWI","Employment Growth","DET","1.223276","1.025079","0.3386472","1.550425","1.652974","2.07868","2.330599","3.467279","3.312998","3.21101","3.427805","3.429365","3.424059","3.463006","3.631795","2.582858","4.348504","3.06037","3.095977","3.171324","3.2196","3.270139","3.340347","3.340319","3.309533","3.274915","3.265871","3.27746",
"Malaysia","MYS","Employment Growth","DET","2.675115","2.579905","3.382404","3.866713","3.893477","3.425661","2.468827","2.906707","5.275159","1.969396","2.346174","2.116923","2.237651","2.066993","2.201507","2.016085","1.768972","1.477942","2.508868","2.885963","2.7132","2.369352","2.448435","2.288069","2.109386","1.955909","1.824351","1.725926",
"Malta","MLT","Employment Growth","DET","0.9479567","0.6682553","0.5182437","1.146298","1.387629","1.214462","2.094239","0.6312255","1.617217","1.705171","0.2238142","-0.3359891","-1.683841","2.020759","1.201958","2.743517","1.816843","-0.0163292","2.208946","2.400105","2.31629","0.2439915","0.3004221","0.2250049","0.1923894","0.1610775","0.1346838","0.1033291",
"Mauritius","MUS","Employment Growth","DET","2.254577","2.40624","2.27926","1.620205","2.295512","2.081298","1.138593","1.000323","2.591363","2.293015","-0.4676516","-0.6924319","-1.135852","0.3868457","1.239264","0.9269657","2.455906","1.007672","1.921832","0.6676314","0.0429722","1.354039","0.8399905","0.8107002","0.7453777","0.6693152","0.5894263","0.5245168",
"Mexico","MEX","Employment Growth","DET","3.906684","3.847584","1.309459","-0.4339018","4.419065","6.040951","2.469683","2.011434","1.690907","0.9170194","1.655436","0.6896411","3.352894","1.827596","3.787645","1.977032","2.330473","-1.54432","3.634516","0.5462318","4.512454","1.991472","2.12517","2.123459","2.034043","1.937595","1.844994","1.770898",
"Mongolia","MNG","Employment Growth","DET","3.279574","2.198063","1.524926","0.4848112","3.271174","2.0349","2.34392","2.475484","2.85937","2.603365","2.522908","1.763835","2.486135","2.925234","3.706226","1.10771","1.010524","5.623807","0.6964977","4.308873","1.863406","2.460738","2.207785","1.828937","1.481851","1.392076","1.245517","1.154415",
"Montenegro","MNE","Employment Growth","DET","0.0729122","-0.4308619","-1.650218","2.139343","-1.39896","-1.791723","0.490209","-0.5193991","1.865251","-1.367709","0.2766927","0.3713121","2.442551","0.0145835","2.767408","-0.0871276","4.27144","-3.846948","-2.30106","-3.316676","2.819141","-0.0376137","0.9506779","0.6387019","0.4771817","0.3348389","0.2917909","0.2232682",
"Morocco","MAR","Employment Growth","DET","3.531144","3.277005","2.651564","3.763373","2.773845","3.666355","3.09375","-0.2705537","0.9098885","-0.7048216","1.919995","3.945418","4.535491","0.5435632","1.989497","1.311864","1.425291","0.9845102","0.6873117","2.146709","1.784823","1.62361","1.558612","1.511215","1.483922","1.427207","1.366173","1.304326",
"Mozambique","MOZ","Employment Growth","DET","4.260991","5.621264","5.044931","4.298583","3.735569","2.959733","3.529838","3.108715","2.902344","2.965085","2.65905","2.534714","2.2937","2.262748","2.251228","2.240055","2.257621","2.269774","2.298406","2.332778","2.357803","2.355535","2.440139","2.509125","2.562637","2.622527","2.674721","2.717432",
"Nepal","NPL","Employment Growth","DET","3.259221","2.914013","2.975105","2.907162","0.89073","3.801643","3.715314","4.078756","1.163664","0.8581218","2.794285","2.46157","1.672858","1.191861","1.446122","1.56073","1.416945","1.949033","2.078431","2.23918","2.329111","2.432058","2.42403","2.386465","2.323793","2.265148","2.202796","2.129341",
"Netherlands","NLD","Employment Growth","DET","3.205734","0.3697152","0.8727593","1.17821","2.408074","3.696521","2.962539","2.659341","3.213243","2.238623","1.060075","-0.4245187","-0.1656024","0.596927","2.001593","2.63942","1.884808","0.2028484","-3.155519","0.061541","0.2071405","-1.520541","-0.5132935","-0.0568882","0.1137707","0.1799146","0.2024361","0.181112",
"New Zealand","NZL","Employment Growth","DET","1.026971","2.609797","4.562485","4.476871","2.65527","0.0952917","-0.7395874","1.96221","2.452534","3.411427","2.960535","1.991486","3.485627","3.105786","2.335979","2.057703","0.7767376","-1.088361","0.5333955","1.693589","0.5001934","1.788942","1.244042","1.221023","1.067706","0.9517549","0.891144","0.8508425",
"Nicaragua","NIC","Employment Growth","DET","2.470904","4.072757","5.414828","2.523834","2.683097","2.317211","3.699622","3.061669","1.980587","3.290318","3.196446","0.5945291","4.356474","4.097692","3.187053","2.977521","1.35924","2.277295","1.151352","2.920654","2.706406","3.382754","3.036967","2.783743","2.572748","2.401194","2.262513","2.159296",
"Norway","NOR","Employment Growth","DET","-0.512093","-0.1977334","1.784854","1.988951","2.885739","3.281309","2.408759","0.3284327","0.5665133","0.3266729","0.2571158","-0.8763616","0.5923546","0.6155728","2.502695","3.521608","3.007734","-0.6021342","-0.0660833","1.066518","1.313359","-0.1366717","0.8112591","0.8942717","0.9561896","0.9912947","0.9895393","0.9415029",
"Oman","OMN","Employment Growth","DET","9.085794","8.662836","6.726816","3.928857","1.351813","-0.9684422","-1.821584","-1.329917","-0.4869537","1.175361","3.259827","4.595983","4.514163","4.405221","3.773004","3.569539","4.517706","7.967573","11.04945","14.04503","15.23661","14.06478","11.19669","7.809503","4.775351","2.535542","1.026883","0.4428009",
"Pakistan","PAK","Employment Growth","DET","3.323429","2.554015","3.473806","-0.0919816","4.036339","3.941463","3.342212","3.518911","2.668014","2.500145","2.469845","3.947426","4.240781","5.166434","5.992724","3.14507","2.600165","3.833264","3.201885","2.823524","2.816943","2.644638","2.588348","2.506644","2.438809","2.363976","2.314759","2.273065",
"Panama","PAN","Employment Growth","DET","6.354299","6.160823","2.533176","4.509449","2.119365","3.970116","3.958988","4.287379","0.7000712","2.020064","3.139188","3.422961","4.652943","4.936525","2.111094","5.651433","5.576124","1.430023","1.385929","4.364619","2.680542","2.05824","1.914723","1.867036","1.826402","1.794644","1.764855","1.736418",
