"Country Name","Country Code","Indicator Name","Indicator Code","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Senegal","SEN","Real Wage Growth","DWR","-1.2","-1.4","-6.9","10.4","7.2","0.1","-2.6","4.2","3.8","6.7","0.6","2.3","2.2","1.1","1","1.4","0.5","0.4","0.7","0.8","0.9","0.9","1.1","1.6","2.1","2.5"
"Serbia","SRB","Real Wage Growth","DWR","","","","0.9","2.5","3.8","3.4","3.6","6.8","12.4","15.1","4.9","-10.6","1.3","0","1.5","-1.8","1.5","1.2","1.1","1.4","1.6","1.9"
"Singapore","SGP","Real Wage Growth","DWR","6.3","5.6","4.3","3.6","10.8","2.6","7.4","1.3","1.2","1.2","1.9","3","2.2","4","-1.1","-3.2","2.7","0.7","-2.2","1.9","1.1","2","1.7","1.5","1.5","1.5"
"Slovakia","SVK","Real Wage Growth","DWR","","5.9","6","5.7","5.2","3.5","2.9","1","5.6","-1.8","2.4","6.2","4.3","5.4","4","2.1","2.5","-1.8","-1.3","0.9","0.4","1.1","1.3","1.8","2.1","2.2"
"Slovenia","SVN","Real Wage Growth","DWR","-5.9","3.1","5.1","2.4","2.9","3.2","1.6","3.2","2.1","2","2","1.1","2.3","2.2","2.5","2.6","2","0.2","-2.5","-1.9","0.4","1.7","1.7","2.3","2.6","2.1"
"South Africa","ZAF","Real Wage Growth","DWR","-4.9","-3.1","1.4","1","1.7","-0.4","1.7","0.3","3.3","4.1","4.6","2.9","1.5","1","0","3.5","9.8","2.7","3","-0.1","-0.1","-0.1","0.5","0.8","0.9","1"
"Spain","ESP","Real Wage Growth","DWR","3.4","1.1","1.2","-1","0.3","0.9","-1.1","0.5","0.2","0.9","-0.1","-0.9","1.2","1.1","0.9","3.5","-1.1","-1.9","-2.9","-1.5","-2","-0.7","-0.3","0.2","0.9","1.2"
"Sri Lanka","LKA","Real Wage Growth","DWR","-0.2","0.2","-0.1","-0.3","2.1","0.6","2.1","-4.1","6","-3.7","-0.4","-3.8","1.1","-4.8","-4.4","-1.4","-1.1","0.6","0.5","0.4","1.2","1","0.9","1","1.1","1.3"
"Sweden","SWE","Real Wage Growth","DWR","2","3.3","5.7","4.6","4.2","3.8","4.7","1.5","1.6","1.2","3.1","2.5","1.5","1","1.5","3.5","0.6","-0.8","1.9","2.7","0.7","1.5","1.8","1.9","2","1.9"
"Switzerland","CHE","Real Wage Growth","DWR","0","1.1","0.5","2.4","0.7","1.2","-0.3","1.3","1.2","1.7","0.1","1.2","0.1","1.2","-0.4","1.9","0.1","0.8","1.8","1","1.5","1.4","1.2","1.1","1.2","1.2"
"Taiwan, China","TWN","Real Wage Growth","DWR","5.1","4.7","0.6","3.9","1.4","2.8","1.2","0.2","-0.8","1.6","-0.1","-1.2","0.2","0.3","-3.5","-4.1","4.2","1.1","-1.7","-0.6","1.4","2.3","2.7","2.9","2.9","3"
"Tajikistan","TJK","Real Wage Growth","DWR","-11.6","-1.8","-5.2","5.4","25.7","4.6","0.4","8.2","22.5","17.2","28.5","26.3","25.6","24.2","18.2","14.9","17.1","11.1","18.7","14.8","14.5","14.7","13.9","14.4","15","15.4"
"Thailand","THA","Real Wage Growth","DWR","0","4","-0.9","1.9","-6.4","-3.3","1.9","1.8","-1.5","0.4","-0.4","2.2","1.5","0.7","4.5","-1.6","3.1","3.3","8.5","5.8","3.3","2.1","3.8","4.2","4.3","4.5"
"Tunisia","TUN","Real Wage Growth","DWR","-9.7","-6","-7.3","0.1","0.7","0.2","0.5","-19.8","-11.7","11.3","-15.6","-5.4","18.5","-15","-4.7","11.7","-4.2","4.8","9.5","-17.2","-0.6","1.2","2.5","3","3.7","3.8"
"Turkey","TUR","Real Wage Growth","DWR","7.4","-7.7","5.8","4.6","6.3","0.8","-2.1","6.2","-2.5","3.7","1.7","4.2","2.6","1.1","0.2","1.7","-9.6","8.9","2.7","1.9","1.3","1.9","1.4","1.8","2.1","2.1"
"Uganda","UGA","Real Wage Growth","DWR","4.8","4.8","5.7","6.8","4.2","2.9","5.2","2.8","2.7","5.4","4.9","-4.8","4.1","8.6","-20.1","-2.4","4.9","-4.9","4.9","2.6","1.6","2.3","3","3.3","3.4","3.6"
"Ukraine","UKR","Real Wage Growth","DWR","-13.9","-14.6","-8.5","-4","-3.2","-5.2","0.8","20.8","20","16.8","17.1","20.3","18.4","15","6.8","-8.9","7.4","8.9","14.3","8.2","0.1","0.1","1.8","5.9","7.9","8.4"
"United Arab Emirates","ARE","Real Wage Growth","DWR","-2.4","0","0.9","0.2","1.8","-0.2","-1.2","1.9","-3.9","1.5","-4","-4.9","5.9","4.8","-2.7","-9.3","-8.1","-8.9","-5.1","-3.5","-1.2","0","0.3","1.1","1.8","2.3"
